pols := [
[1, 4, 0, -28, -70, -42, 42, -390, -909],
[1, 4, 0, 0, 0, -196, -224, -120, -760],
[1, 4, 0, -28, -70, -84, -56, 220, -723],
[1, 4, 0, 0, 70, 168, 252, 260, -675],
[1, 4, 0, -28, -70, 112, 308, 240, -671],
[1, 4, 0, -28, -70, -84, -56, 180, -603],
[1, 4, 0, -28, -70, -84, -336, -660, -603],
[1, 4, 0, 0, 0, -336, -784, -640, -600],
[1, 4, 0, -28, -70, -196, -504, -740, -587],
[1, 4, 0, -28, -70, 42, 378, 70, -581],
[1, 4, 0, -28, -70, -252, -448, -220, -579],
[1, 4, 0, -28, -70, -42, 182, 170, -489],
[1, 4, 0, 0, 70, 154, -154, -690, -485],
[1, 4, 0, -28, -70, -84, -56, 140, -483],
[1, 4, 0, -28, -70, -168, -532, -760, -471],
[1, 4, 0, 0, 0, 0, 0, -120, -480],
[1, 4, 0, 0, 0, -42, 112, 160, -480],
[1, 4, 0, 0, 0, -42, -28, 440, -480],
[1, 4, 0, 0, 0, -168, -672, -960, -480],
[1, 4, 0, 14, 14, -350, -350, -160, -465],
[1, 4, 0, -28, 0, 224, 336, -360, -432],
[1, 4, 0, 0, 0, -154, -616, -880, -440],
[1, 4, 0, -28, -70, -84, -56, 300, -403],
[1, 4, 0, -28, 0, 14, 56, 0, -392],
[1, 4, 0, -28, -70, 84, 336, -60, -387],
[1, 4, 0, 0, 0, -140, -560, -800, -400],
[1, 4, 0, -28, -70, -84, -56, 100, -363],
[1, 4, 0, 0, 0, 0, 0, -160, -360],
[1, 4, 0, 0, 0, -126, 56, 400, -360],
[1, 4, 0, 0, 0, -126, -504, -720, -360],
[1, 4, 14, 70, 210, 322, 308, 8, -325],
[1, 4, 0, 0, 70, 182, 238, 190, -325],
[1, 4, 0, 0, 0, 0, 0, -80, -320],
[1, 4, 0, 0, 0, -112, -448, -640, -320],
[1, 4, 14, 56, 280, 546, 364, -456, -284],
[1, 4, 0, 0, 70, 28, -448, -800, -295],
[1, 4, -14, -42, 84, -266, -196, -60, -275],
[1, 4, 0, 0, 0, -98, -392, -560, -280],
[1, 4, 0, -28, -70, -84, -56, 60, -243],
[1, 4, 14, -14, -140, -406, -784, -724, -236],
[1, 4, 0, -70, -350, -574, -266, 180, -225],
[1, 4, 0, 0, 0, 0, -280, 80, -240],
[1, 4, 0, 0, 0, -84, -336, -480, -240],
[1, 4, 0, 0, 0, -336, -224, 640, -240],
[1, 4, 0, -28, -70, 42, 448, -320, -216],
[1, 4, 0, -28, -70, -84, -56, 140, -203],
[1, 4, 14, 56, 280, 420, 0, -400, -200],
[1, 4, 14, -14, 0, 14, 56, 196, -196],
[1, 4, 14, 0, 0, -462, -1148, -838, -195],
[1, 4, 0, 0, 0, 112, -112, 160, -200],
[1, 4, 0, 0, 0, -70, -280, -400, -200],
[1, 4, 0, 0, 0, -112, 112, 160, -200],
[1, 4, 0, -28, -70, 168, -588, -640, -159],
[1, 4, 0, 0, 0, 0, 0, -40, -160],
[1, 4, 0, 0, 0, -56, -224, -320, -160],
[1, 4, 0, 0, 0, -126, -364, 520, -160],
